timestamp,open,high,low,close,volume,trade_count
2024-01-06 00:00:02+00:00,0.0315,0.0315,0.0315,0.0315,0.0,0
2024-01-07 00:00:02+00:00,0.027,0.027,0.027,0.027,0.0,0
2024-01-08 00:00:02+00:00,0.024,0.024,0.024,0.024,0.0,0
2024-01-09 00:00:03+00:00,0.023,0.023,0.023,0.023,0.0,0
2024-01-10 00:00:03+00:00,0.0175,0.0175,0.0175,0.0175,0.0,0
2024-01-11 00:00:03+00:00,0.0165,0.0165,0.0165,0.0165,0.0,0
2024-01-12 00:00:03+00:00,0.015,0.015,0.015,0.015,0.0,0
2024-01-13 00:00:02+00:00,0.014,0.014,0.014,0.014,0.0,0
2024-01-14 00:00:02+00:00,0.0135,0.0135,0.0135,0.0135,0.0,0
2024-01-15 00:00:03+00:00,0.012,0.012,0.012,0.012,0.0,0
2024-01-16 00:00:02+00:00,0.012,0.012,0.012,0.012,0.0,0
2024-01-17 00:00:03+00:00,0.0145,0.0145,0.0145,0.0145,0.0,0
2024-01-18 00:00:02+00:00,0.0145,0.0145,0.0145,0.0145,0.0,0
2024-01-19 00:00:02+00:00,0.014,0.014,0.014,0.014,0.0,0
2024-01-20 00:00:03+00:00,0.016,0.016,0.016,0.016,0.0,0
2024-01-21 00:00:02+00:00,0.0165,0.0165,0.0165,0.0165,0.0,0
2024-01-22 00:00:02+00:00,0.017,0.017,0.017,0.017,0.0,0
2024-01-23 00:00:03+00:00,0.012,0.012,0.012,0.012,0.0,0
2024-01-24 00:00:02+00:00,0.0095,0.0095,0.0095,0.0095,0.0,0
2024-01-25 00:00:02+00:00,0.0095,0.0095,0.0095,0.0095,0.0,0
2024-01-26 00:00:02+00:00,0.009,0.009,0.009,0.009,0.0,0
2024-01-27 00:00:02+00:00,0.009,0.009,0.009,0.009,0.0,0
2024-01-28 00:00:02+00:00,0.009,0.009,0.009,0.009,0.0,0
2024-01-29 00:00:02+00:00,0.0085,0.0085,0.0085,0.0085,0.0,0
2024-01-30 00:00:02+00:00,0.0085,0.0085,0.0085,0.0085,0.0,0
2024-01-31 00:00:02+00:00,0.0075,0.0075,0.0075,0.0075,0.0,0
2024-02-01 00:00:02+00:00,0.0075,0.0075,0.0075,0.0075,0.0,0
2024-02-02 00:00:02+00:00,0.0065,0.0065,0.0065,0.0065,0.0,0
2024-02-03 00:00:02+00:00,0.0075,0.0075,0.0075,0.0075,0.0,0
2024-02-04 00:00:03+00:00,0.0075,0.0075,0.0075,0.0075,0.0,0
2024-02-05 00:00:02+00:00,0.0075,0.0075,0.0075,0.0075,0.0,0
2024-02-06 00:00:02+00:00,0.0075,0.0075,0.0075,0.0075,0.0,0
2024-02-07 00:00:02+00:00,0.0075,0.0075,0.0075,0.0075,0.0,0
2024-02-08 00:00:02+00:00,0.0075,0.0075,0.0075,0.0075,0.0,0
2024-02-09 00:00:02+00:00,0.011,0.011,0.011,0.011,0.0,0
2024-02-10 00:00:03+00:00,0.017,0.017,0.017,0.017,0.0,0
2024-02-11 00:00:03+00:00,0.016,0.016,0.016,0.016,0.0,0
2024-02-12 00:00:03+00:00,0.017,0.017,0.017,0.017,0.0,0
2024-02-13 00:00:02+00:00,0.018,0.018,0.018,0.018,0.0,0
2024-02-14 00:00:03+00:00,0.021,0.021,0.021,0.021,0.0,0
2024-02-15 00:00:03+00:00,0.02,0.02,0.02,0.02,0.0,0
2024-02-16 00:00:03+00:00,0.0205,0.0205,0.0205,0.0205,0.0,0
2024-02-17 00:00:02+00:00,0.0215,0.0215,0.0215,0.0215,0.0,0
2024-02-18 00:00:02+00:00,0.0185,0.0185,0.0185,0.0185,0.0,0
2024-02-19 00:00:02+00:00,0.0185,0.0185,0.0185,0.0185,0.0,0
2024-02-20 00:00:02+00:00,0.018,0.018,0.018,0.018,0.0,0
2024-02-21 00:00:03+00:00,0.0165,0.0165,0.0165,0.0165,0.0,0
2024-02-22 00:00:02+00:00,0.0155,0.0155,0.0155,0.0155,0.0,0
2024-02-23 00:00:02+00:00,0.0145,0.0145,0.0145,0.0145,0.0,0
2024-02-24 00:00:02+00:00,0.015,0.015,0.015,0.015,0.0,0
2024-02-25 00:00:02+00:00,0.0155,0.0155,0.0155,0.0155,0.0,0
2024-02-26 00:00:02+00:00,0.0155,0.0155,0.0155,0.0155,0.0,0
2024-02-27 00:00:02+00:00,0.0165,0.0165,0.0165,0.0165,0.0,0
2024-02-28 00:00:03+00:00,0.0165,0.0165,0.0165,0.0165,0.0,0
2024-02-29 00:00:02+00:00,0.0165,0.0165,0.0165,0.0165,0.0,0
2024-03-01 00:00:02+00:00,0.0165,0.0165,0.0165,0.0165,0.0,0
2024-03-02 00:00:03+00:00,0.0175,0.0175,0.0175,0.0175,0.0,0
2024-03-03 00:00:03+00:00,0.0175,0.0175,0.0175,0.0175,0.0,0
2024-03-04 00:00:03+00:00,0.019,0.019,0.019,0.019,0.0,0
2024-03-05 00:00:03+00:00,0.019,0.019,0.019,0.019,0.0,0
2024-03-06 00:00:03+00:00,0.0165,0.0165,0.0165,0.0165,0.0,0
2024-03-07 00:00:02+00:00,0.0175,0.0175,0.0175,0.0175,0.0,0
2024-03-08 00:00:02+00:00,0.0175,0.0175,0.0175,0.0175,0.0,0
2024-03-09 00:00:03+00:00,0.019,0.019,0.019,0.019,0.0,0
2024-03-10 00:00:02+00:00,0.0195,0.0195,0.0195,0.0195,0.0,0
2024-03-11 00:00:02+00:00,0.0195,0.0195,0.0195,0.0195,0.0,0
2024-03-12 00:00:02+00:00,0.0195,0.0195,0.0195,0.0195,0.0,0
2024-03-13 00:00:03+00:00,0.018,0.018,0.018,0.018,0.0,0
2024-03-14 00:00:03+00:00,0.017,0.017,0.017,0.017,0.0,0
